Thu May 28 08:57:29 UTC 2020,  1841, %Cpu(s):0.0
Thu May 28 08:57:39 UTC 2020,  1176, %Cpu(s):37.5
Thu May 28 08:57:49 UTC 2020,  1657, %Cpu(s):94.4
